Sl. No,Name of Incident,Date,Month,Year,Country,Country2,Country3,Country4,Country5,Country6,Country7,Country8,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
286,Washington Naval Conference,Unknown,Unknown,1922,Japan,USA,UK,France,Italy,,,,Milestone Events,Washington D.C.,Led to naval disarmament and attempted to prevent naval arms race among the major powers.,International community,"USA, UK, Japan, France, Italy",Positive
287,Manchurian Incident,18,September,1931,Japan,China,,,,,,,War & Conflict,"Manchuria, China","A staged event used by Japan as a pretext to invade Manchuria, leading to the establishment of Manchukuo.",Chinese and Japanese populations,Imperial Japanese Army,Negative
288,Marco Polo Bridge Incident,7,July,1937,Japan,China,,,,,,,War & Conflict,"Near Beijing, China","The start of the full-scale Second Sino-Japanese War, escalating conflict in East Asia.",Chinese and Japanese populations,"Imperial Japanese Army, Chinese forces",Negative
289,Japan's Surrender in World War II,2,September,1945,Japan,USA,UK,Australia,,,,,War & Conflict,Tokyo Bay,Marked the end of World War II and the beginning of Japan's post-war reconstruction and pacifism era.,Japanese population,"Emperor Hirohito, Allied Powers",Negative
290,San Francisco Peace Treaty Signed,8,September,1951,Japan,USA,UK,Australia,France,,,,Milestone Events,San Francisco,"Officially ended the state of war between Japan and the Allied Powers, restoring Japan's sovereignty.",Japanese population,Shigeru Yoshida (Prime Minister),Positive
291,Japan Joins the United Nations,18,December,1956,Japan,,,,,,,,Milestone Events,New York,Marked Japan's return to the international community and its commitment to global peace and cooperation.,Global community,Japanese government,Positive
292,Income Doubling Plan Announced,Unknown,Unknown,1960,Japan,,,,,,,,Milestone Events,Japan,"Aimed at doubling the national income, fueling rapid economic growth and improving living standards.",Japanese citizens,Hayato Ikeda (Prime Minister),Positive
293,Tokyo Olympics,10,October,1964,Japan,,,,,,,,Sports & Entertainment,Tokyo,"Showcased Japan's recovery and modernization to the world, fostering national pride and international goodwill.",Global audience,Japanese government,Positive
294,Osaka Expo '70,15,March,1970,Japan,,,,,,,,Milestone Events,Osaka,Symbolized Japan's cultural and technological advancements on the world stage.,International visitors,Japanese government,Positive
295,Oil Crisis and Economic Shift,October,Unknown,1973,Japan,,,,,,,,Milestone Events,Japan,Prompted a shift in Japan's economy towards energy-efficient industries and high technology.,Japanese economy,Japanese government,Mixed
296,Japan-China Joint Communiqué,29,September,1972,Japan,China,,,,,,,Milestone Events,Beijing,"Normalized diplomatic relations between Japan and China, ending the post-war state of hostility.",Japanese and Chinese populations,Kakuei Tanaka (Prime Minister),Positive
298,Heisei Era Begins,8,January,1989,Japan,,,,,,,,Milestone Events,Japan,"The ascension of Emperor Akihito marked the beginning of the Heisei era, symbolizing peace and recovery.",Japanese population,Emperor Akihito,Positive
299,Great Hanshin Earthquake,17,January,1995,Japan,,,,,,,,Nature & Health,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,Unknown,Negative
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995,Japan,,,,,,,,War & Conflict,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult,Negative
302,Japan's Apology for WWII Aggressions,15,August,1995,Japan,South Korea,China,,,,,,Milestone Events,Japan,Prime Minister Tomiichi Murayama issued a formal apology for Japan's wartime aggressions.,Asian neighbors,Tomiichi Murayama (Prime Minister),Positive
303,Kyoto Protocol on Climate Change,11,December,1997,Japan,USA,Russia,China,EU,,,,Milestone Events,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants,Positive
305,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,,,,,,,,Technology,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative
306,Japan-Korea Comfort Women Agreement,28,December,2015,Japan,South Korea,,,,,,,Milestone Events,Seoul,"Aimed to resolve the long-standing issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park Geun-hye",Mixed
307,Emperor Akihito's Abdication,30,April,2019,Japan,,,,,,,,Milestone Events,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive
308,2020 Tokyo Olympics Postponement,24,March,2020,Japan,Australia,USA,,,,,,Sports & Entertainment,Tokyo,The Olympics were postponed for the first time in history due to the COVIDUnknown19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed
309,Reiwa Era Begins,1,May,2019,Japan,,,,,,,,Milestone Events,Japan,"The ascension of Emperor Naruhito marked the beginning of the Reiwa era, symbolizing harmony and peace.",Japanese population,Emperor Naruhito,Positive
310,Arrival of the First Fleet,26,January,1788,Australia,UK,,,,,,,Milestone Events,Sydney Cove,"Marked the beginning of British colonization in Australia, leading to the establishment of New South Wales.","Indigenous Australians, British convicts",Captain Arthur Phillip,Mixed
311,Establishment of the Colony of Van Diemen's Land,Unknown,Unknown,1803,Australia,UK,,,,,,,Milestone Events,Tasmania,"Expanded British territorial claims in Australia, significantly impacting the indigenous population.","Tasmanian Aboriginal people, British settlers",British Colonial Administration,Negative
312,Gold Rushes Begin,Unknown,Unknown,1851,Australia,,,,,,,,Milestone Events,"New South Wales, Victoria","Triggered mass migration to Australia, significantly boosting the economy and population.",Australian colonies,Gold prospectors,Positive
313,Eureka Stockade,3,December,1854,Australia,,,,,,,,War & Conflict,"Ballarat, Victoria","A miners' rebellion against colonial authorities, considered a pivotal event in the development of democracy in Australia.","Miners, colonial authorities",Peter Lalor,Positive
314,Establishment of the Commonwealth of Australia,1,January,1901,Australia,,,,,,,,Milestone Events,Entire Australia,"Unification of the six colonies into a federated nation, marking the birth of modern Australia.",Australian population,Edmund Barton,Positive
315,ANZAC troops land at Gallipoli,25,April,1915,Australia,Turkey,UK,New Zealand,,,,,War & Conflict,"Gallipoli, Turkey",Marked the first major military action fought by Australian and New Zealand forces during WWI.,ANZAC soldiers,Unknown,Negative
316,The Great Strike of 1917,Unknown,Unknown,1917,Australia,,,,,,,,Milestone Events,Sydney,"One of Australia's largest industrial disputes, affecting the country's economy and labor laws.","Workers, employers",Union leaders,Mixed
317,Women's Suffrage Achieved,Unknown,Unknown,1902,Australia,,,,,,,,Milestone Events,Entire Australia,"Granted women the right to vote and stand for parliamentary election, a significant step for women's rights.",Australian women,Women's suffrage activists,Positive
318,The Great Depression Hits Australia,Unknown,Unknown,1929,Australia,,,,,,,,Milestone Events,Entire Australia,"Severely affected Australia's economy, leading to widespread unemployment and social upheaval.",Australian population,Unknown,Negative
319,Sydney Harbour Bridge Opens,19,March,1932,Australia,,,,,,,,"Arts, Literature & Architecture",Sydney,Became a national symbol of Australia and a critical transportation link within Sydney.,Sydney residents,John Bradfield,Positive
320,Australian Citizenship Act,Unknown,Unknown,1949,Australia,,,,,,,,Milestone Events,Entire Australia,"Established Australian citizenship, formally distinguishing Australians from British subjects.",Australian residents,Australian Government,Positive
321,Darwin Bombing by Japanese Forces,19,February,1942,Australia,Japan,,,,,,,War & Conflict,"Darwin, Northern Territory","The largest single attack ever mounted by a foreign power on Australia, bringing the realities of WWII to Australian shores.",Residents of Darwin,Imperial Japanese Navy,Negative
322,Kokoda Trail Campaign,Unknown,Unknown,1942,Australia,Japan,Papua New Guinea,,,,,,War & Conflict,Papua New Guinea,"A series of battles fought in the New Guinea campaign of WWII, showcasing the bravery of Australian troops.","Australian soldiers, Papua New Guineans",Australian Army,Positive
323,Australian Involvement in WWII Begins,3,September,1939,Australia,UK,,,,,,,War & Conflict,Global,Marked Australia's entry into WWII following the United Kingdom's declaration of war on Nazi Germany.,"Australian military, civilians",Robert Menzies (Prime Minister),Mixed
324,Myall Creek Massacre,10,June,1838,Australia,,,,,,,,War & Conflict,"Myall Creek, New South Wales",One of the most infamous incidents of violence against Indigenous Australians during the frontier wars.,Wirrayaraay people,European settlers,Negative
325,The Founding of Melbourne,30,August,1835,Australia,,,,,,,,Milestone Events,"Melbourne, Victoria","Establishment of Melbourne, which would grow to become one of Australia's largest and most influential cities.","Indigenous Australians, settlers","John Batman, settlers",Mixed
326,The Shearers' Strike,Unknown,Unknown,1891,Australia,,,,,,,,Milestone Events,Queensland,"A significant early labor dispute, highlighting the division between workers and employers in rural Australia.","Shearers, pastoralists","Union leaders, Queensland Government",Mixed
327,Federation of Australia,1,January,1901,Australia,,,,,,,,Milestone Events,Entire Australia,"Unified the six separate British colonies into a single nation, the Commonwealth of Australia.",Residents of the colonies,Edmund Barton,Positive
328,Australian Imperial Force's Formation,Unknown,Unknown,1914,Australia,,,,,,,,War & Conflict,Australia,Formation of the AIF marked Australia's preparation for participation in WWI.,Australian volunteers,Australian Government,Mixed
329,Black Friday Bushfires,13,January,1939,Australia,,,,,,,,Nature & Health,Victoria,"One of Australia's worst natural disasters, leading to significant loss of life and property.",Residents of Victoria,Unknown,Negative
330,Signing of the ANZUS Treaty,1,September,1951,Australia,New Zealand,USA,,,,,,Milestone Events,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States, strengthening ties with the US.",Australian citizens,Robert Menzies (Prime Minister),Positive
331,Mabo v Queensland Decision,3,June,1992,Australia,,,,,,,,Milestone Events,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive
332,Introduction of the Universal Health Care System,Unknown,Unknown,1975,Australia,,,,,,,,Nature & Health,Nationwide,"Established Medicare, providing access to free or subsidised medical care for Australian citizens.",Australian citizens,Gough Whitlam (Prime Minister),Positive
333,Sydney Opera House Opens,20,October,1973,Australia,,,,,,,,"Arts, Literature & Architecture",Sydney,"Became an iconic symbol of Australia and a major cultural venue, enhancing the country's global cultural stature.",International and local visitors,"Queen Elizabeth II, Jørn Utzon",Positive
334,1967 Referendum on Indigenous Australians,27,May,1967,Australia,,,,,,,,Milestone Events,Nationwide,Amended the constitution to include Indigenous Australians in censuses and allow the federal government to create laws for them.,"Indigenous Australians, Australian voters","Australian Government, Indigenous activists",Positive
335,Australia's Involvement in the Vietnam War,Unknown,Unknown,1962,Australia,Vietnam,USA,,,,,,War & Conflict,Vietnam,Marked significant military engagement abroad and sparked domestic debate and protest movements.,"Australian soldiers, civilians",Robert Menzies (Prime Minister),Mixed
336,Whitlam Government's Dismissal,11,November,1975,Australia,,,,,,,,Milestone Events,Canberra,A constitutional crisis that led to the dismissal of the Whitlam government by the Governor-General.,Australian citizens,"Gough Whitlam, Sir John Kerr",Negative
337,Port Arthur Massacre,28,April,1996,Australia,,,,,,,,War & Conflict,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister),Positive
338,Australia Act 1986,3,March,1986,Australia,UK,,,,,,,Milestone Events,"Canberra, London","Severed the remaining constitutional links between Australia and the United Kingdom, establishing full sovereignty.",Australian citizens,"Australian Government, British Government",Positive
339,Apology to Australia's Indigenous Peoples,13,February,2008,Australia,,,,,,,,Milestone Events,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive
340,Korean War Involvement,Unknown,Unknown,1950,Australia,South Korea,North Korea,USA,,,,,War & Conflict,Korea,"Marked Australia's participation in UN forces during the Korean War, emphasizing its commitment to global security.","Australian military, Korean civilians",Australian Government,Mixed
341,ANZUS Treaty Signing,1,September,1951,Australia,New Zealand,USA,,,,,,Milestone Events,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States.",Australian citizens,Robert Menzies,Positive
342,Vietnam War Involvement,Unknown,Unknown,1962,Australia,Vietnam,USA,,,,,,War & Conflict,Vietnam,Australia's involvement in Vietnam War sparked national debate and protest movements.,"Australian military, Vietnamese civilians",Australian Government,Negative
343,Aboriginal Land Rights Act,Unknown,Unknown,1976,Australia,,,,,,,,Milestone Events,Northern Territory,"A landmark in Indigenous rights, allowing Aboriginal Australians to claim land rights in the Northern Territory.",Indigenous Australians,Australian Government,Positive
344,Sydney Opera House Opens,20,October,1973,Australia,,,,,,,,"Arts, Literature & Architecture",Sydney,"Became a national icon and a major cultural hub, symbolizing Australia's architectural and artistic prowess.",Global and local visitors,Jørn Utzon,Positive
345,Whitlam Government Dismissal,11,November,1975,Australia,,,,,,,,Milestone Events,Canberra,"A constitutional crisis that led to the dismissal of the Whitlam government, highlighting the power of the Governor-General.",Australian citizens,"Gough Whitlam, Sir John Kerr",Negative
346,Australia Acts 1986,Unknown,Unknown,1986,Australia,UK,,,,,,,Milestone Events,"Australia, UK","Ended the British Parliament's ability to legislate for Australia, finalizing legal independence.",Australian citizens,Australian Government,Positive
347,Mabo Decision by the High Court,3,June,1992,Australia,,,,,,,,Milestone Events,Australia,"Recognized native title in Australia, overturning the doctrine of terra nullius.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive
348,Port Arthur Massacre,28,April,1996,Australia,,,,,,,,War & Conflict,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard,Positive
349,Sydney 2000 Summer Olympics,15,September,2000,Australia,,,,,,,,Sports & Entertainment,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive
350,Apology to the Stolen Generations,13,February,2008,Australia,,,,,,,,Milestone Events,Canberra,The government formally apologized for the forced removal of Indigenous children from their families.,Indigenous Australians,Kevin Rudd,Positive
351,Introduction of Goods and Services Tax (GST),1,July,2000,Australia,,,,,,,,Milestone Events,Australia,"Implemented a comprehensive tax system reform, affecting consumption taxation nationwide.",Australian consumers,John Howard,Mixed
352,Same-Sex Marriage Legalization,7,December,2017,Australia,,,,,,,,Philosophy,Australia,"Legalized same-sex marriage, marking a significant advancement in LGBTQ+ rights.",LGBTQ+ Australians,Australian Parliament,Positive
353,"""Tampa"" Refugee Crisis",Unknown,August,2001,Australia,Norway,,,,,,,Milestone Events,Indian Ocean,Sparked national and international debate on Australia's asylum seeker policies.,Asylum seekers,John Howard,Negative
354,Black Saturday Bushfires,7,February,2009,Australia,,,,,,,,Nature & Health,Victoria,"One of the deadliest bushfires in Australian history, leading to significant loss of life and property.",Residents of Victoria,State Government of Victoria,Negative
355,Repeal of Carbon Tax,17,July,2014,Australia,,,,,,,,Nature & Health,Australia,The removal of the carbon tax was a controversial environmental and economic policy change.,Australian citizens,Tony Abbott,Negative
356,Royal Commission into Institutional Responses...,Unknown,Unknown,2013,Australia,,,,,,,,Milestone Events,Australia,"Investigated abuse in institutions, leading to widespread reforms and apologies to victims.",Abuse survivors,Australian Government,Positive
357,Australia's First Female Prime Minister,24,June,2010,Australia,,,,,,,,Milestone Events,Australia,"Julia Gillard became the first female Prime Minister, representing a historic moment in Australian politics.",Australian citizens,Julia Gillard,Positive
358,Signing of the Treaty of Waitangi,6,February,1840,New Zealand,UK,,,,,,,Milestone Events,Waitangi,"Established a British Governor in New Zealand, granting the Crown the right to buy land from Māori and offering Māori the rights of British subjects.","Māori, European settlers","William Hobson, Māori chiefs",Mixed
359,New Zealand Wars,Unknown,Unknown,1845,New Zealand,,,,,,,,War & Conflict,Various locations,"A series of conflicts primarily between Colonial government forces and various Māori iwi, affecting sovereignty and land ownership.","Māori, European settlers","Various Māori iwi, British military",Negative
360,Gold Rushes Begin,Unknown,Unknown,1861,New Zealand,,,,,,,,Milestone Events,"Otago, West Coast","Sparked significant economic growth and an influx of settlers, changing the demographic and economic landscape.","European settlers, Māori",Unknown,Positive
361,Introduction of the New Zealand Constitution Act,Unknown,Unknown,1852,New Zealand,,,,,,,,Milestone Events,Unknown,"Granted self-government to New Zealand, allowing for the establishment of a central government and provincial governments.",New Zealanders,British Parliament,Positive
362,Women's Suffrage Achieved,19,September,1893,New Zealand,,,,,,,,Philosophy,Unknown,Made New Zealand the first self-governing country in the world to grant all women the right to vote in parliamentary elections.,Women in New Zealand,"Kate Sheppard, Suffragette movement",Positive
363,Creation of the Welfare State,Unknown,Unknown,1938,New Zealand,,,,,,,,Philosophy,Unknown,"Introduction of social security and welfare policies, providing support for the elderly, unemployed, and sick.",New Zealanders,"Michael Joseph Savage, Labour Government",Positive
364,Māori Seats Established in Parliament,Unknown,Unknown,1867,New Zealand,,,,,,,,Milestone Events,Unknown,"Established separate electoral representation for Māori, recognising Māori as a distinct political group.",Māori,New Zealand Government,Positive
365,Mount Tarawera Eruption,10,June,1886,New Zealand,,,,,,,,Nature & Health,Tarawera,"The deadliest volcanic eruption in New Zealand's history, causing significant loss of life and destruction.",Residents near Tarawera,Unknown,Negative
366,Refrigerated Shipping Invented,Unknown,Unknown,1882,New Zealand,,,,,,,,Technology,Unknown,"Enabled the export of meat and dairy products to Britain, revolutionizing New Zealand's economy.",New Zealand economy,"William Davidson, Thomas Brydone",Positive
367,Anzac Forces Land at Gallipoli,25,April,1915,New Zealand,Turkey,UK,Australia,,,,,War & Conflict,"Gallipoli, Turkey","Marked New Zealand's significant involvement in World War I, impacting national identity and commemorations.",ANZAC soldiers,Unknown,Negative
368,Labour Party Elected for the First Time,Unknown,Unknown,1935,New Zealand,,,,,,,,Milestone Events,Unknown,"Brought the Labour Party to power, leading to significant social and economic reforms, including the creation of a welfare state.",New Zealanders,Michael Joseph Savage,Positive
369,Ratana Movement Political Involvement,Unknown,Unknown,1920,New Zealand,,,,,,,,Philosophy,Unknown,The movement's alignment with the Labour Party influenced Māori political engagement and policy development.,Māori,T.W. Ratana,Positive
370,Social Security Act Passed,Unknown,Unknown,1938,New Zealand,,,,,,,,Philosophy,Unknown,"Established a comprehensive welfare system, providing support for the elderly, unemployed, and sick.",New Zealanders,Labour Government,Positive
371,New Zealand Expeditionary Force in WWII,Unknown,Unknown,1939,New Zealand,UK,Germany,Japan,,,,,War & Conflict,"Europe, Pacific","Significant contribution to the Allied forces during World War II, affecting thousands of New Zealanders.","Military personnel, civilians",New Zealand Government,Mixed
372,National Party Founded,Unknown,Unknown,1936,New Zealand,,,,,,,,"Arts, Literature & Architecture",Unknown,"The founding of the National Party, becoming a major political force and alternative to the Labour Party.",New Zealanders,Adam Hamilton,Positive
373,State Housing Introduced,Unknown,Unknown,1937,New Zealand,,,,,,,,Milestone Events,Unknown,"Initiated a government program to provide quality public housing, improving living standards for many.",Low-income families,Labour Government,Positive
374,Waitangi Day Established,Unknown,Unknown,1934,New Zealand,,,,,,,,Milestone Events,Waitangi,"Commemorated the signing of the Treaty of Waitangi, though it didn't become a public holiday until later.",New Zealanders,New Zealand Government,Positive
375,1st Labour Government Elected,Unknown,Unknown,1935,New Zealand,,,,,,,,Milestone Events,Unknown,"The Labour Party's election led to significant social and economic reforms, including the establishment of a welfare state.",New Zealanders,Michael Joseph Savage,Positive
376,Compulsory Military Training Introduced,Unknown,Unknown,1949,New Zealand,,,,,,,,Milestone Events,Unknown,"Aimed to prepare the population for potential military conflicts, reflecting the global tensions of the time.",Young male citizens,New Zealand Government,Mixed
377,Construction of Auckland Harbour Bridge,Unknown,Unknown,1950,New Zealand,,,,,,,,"Arts, Literature & Architecture",Auckland,"Improved transportation between Auckland city and the North Shore, contributing to the city's expansion.",Auckland residents,New Zealand Government,Positive
378,Treaty of Waitangi Act 1975,Unknown,Unknown,1975,New Zealand,,,,,,,,Milestone Events,New Zealand,"Established the Waitangi Tribunal to address breaches of the Treaty, acknowledging Māori grievances over land and rights.","Māori, New Zealanders",New Zealand Government,Positive
379,ANZUS Treaty Suspension,Unknown,Unknown,1986,New Zealand,USA,Australia,,,,,,Milestone Events,New Zealand,"New Zealand's anti-nuclear stance led to a suspension from the ANZUS security treaty, affirming its nuclear-free policy.",New Zealanders,David Lange,Positive
380,Introduction of Nuclear Free Zone,8,June,1987,New Zealand,,,,,,,,Milestone Events,New Zealand,"Legislated New Zealand as a nuclear-free zone, prohibiting nuclear weapons and power plants within the country.",New Zealanders,New Zealand Government,Positive
381,Homosexual Law Reform Act,9,July,1986,New Zealand,,,,,,,,Philosophy,New Zealand,"Decriminalized homosexuality, marking a significant step towards LGBTQ+ rights in New Zealand.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive
382,Rogernomics Initiatives Begin,Unknown,Unknown,1984,New Zealand,,,,,,,,Milestone Events,New Zealand,"Economic reforms aimed at liberalizing the economy, introducing free-market policies.",New Zealanders,Roger Douglas,Mixed
383,Resource Management Act Enacted,Unknown,Unknown,1991,New Zealand,,,,,,,,Nature & Health,New Zealand,"Provided a framework for managing New Zealand's natural and physical resources, emphasizing sustainability.",New Zealanders,New Zealand Government,Positive
384,1981 Springbok Tour Protests,Unknown,Unknown,1981,New Zealand,South Africa,,,,,,,War & Conflict,New Zealand,Anti-apartheid protests against the South African rugby team's tour highlighted civil rights and anti-racism issues.,"Protesters, rugby fans",Anti-Apartheid Movements,Mixed
385,Waitangi Tribunal Established,Unknown,Unknown,1975,New Zealand,,,,,,,,Milestone Events,New Zealand,"Investigated historical breaches of the Treaty of Waitangi, offering a legal avenue for Māori to seek redress.",Māori,New Zealand Government,Positive
386,2011 Christchurch Earthquake,22,February,2011,New Zealand,,,,,,,,Nature & Health,Christchurch,"A devastating earthquake that caused significant loss of life and damage, impacting the nation's resilience and urban planning.","Christchurch residents, New Zealanders",Unknown,Negative
387,Foreshore and Seabed Controversy,Unknown,Unknown,2004,New Zealand,,,,,,,,Milestone Events,New Zealand,"Sparked debate over Māori customary rights to the foreshore and seabed, leading to political and legal reform.","Māori, New Zealanders",New Zealand Government,Mixed
388,New Zealand's First Female Prime Minister,5,December,1997,New Zealand,,,,,,,,Milestone Events,New Zealand,"Jenny Shipley became the first female Prime Minister, marking a significant moment in New Zealand's political history.",New Zealanders,Jenny Shipley,Positive
389,Anti-Nuclear Legislation Enacted,Unknown,Unknown,1987,New Zealand,,,,,,,,Nature & Health,New Zealand,"Cemented New Zealand's stance on remaining nuclear-free, influencing international relations and environmental policy.",New Zealanders,New Zealand Government,Positive
390,Auckland Harbour Bridge Protests,Unknown,Unknown,1975,New Zealand,,,,,,,,Milestone Events,Auckland,Highlighted land rights issues and led to significant Māori activism against government policies on land and sovereignty.,"Māori, activists",Māori Activists,Positive
391,MMP Electoral System Introduced,Unknown,Unknown,1993,New Zealand,,,,,,,,Milestone Events,New Zealand,"Changed the electoral system to Mixed Member Proportional, aiming for fairer representation in Parliament.",New Zealand voters,New Zealand Government,Positive
392,New Zealand Signs Kyoto Protocol,Unknown,Unknown,1998,New Zealand,Japan,,,,,,,Milestone Events,"Kyoto, Japan","Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government,Positive
393,1987 New Zealand Constitution Act,Unknown,Unknown,1987,New Zealand,,,,,,,,Milestone Events,New Zealand,"Established the legal sovereignty of the New Zealand Parliament, removing the ability of the UK Parliament to legislate for New Zealand.",New Zealanders,New Zealand Government,Positive
394,New Zealand Bill of Rights Act,Unknown,Unknown,1990,New Zealand,,,,,,,,Milestone Events,New Zealand,"Affirmed rights and freedoms in New Zealand law, providing comprehensive protection of human rights.",New Zealanders,New Zealand Government,Positive
395,Formation of the Māori Party,Unknown,Unknown,2004,New Zealand,,,,,,,,Milestone Events,New Zealand,"Established to represent Māori interests in Parliament, emphasizing indigenous rights and perspectives.","Māori, political observers",Māori Leaders,Positive
396,Recognition of the Māori Language,Unknown,Unknown,1987,New Zealand,,,,,,,,"Arts, Literature & Architecture",New Zealand,"Made Te Reo Māori an official language of New Zealand, recognizing the cultural heritage and rights of Māori.","Māori, New Zealanders",New Zealand Government,Positive
397,Decriminalization of Homosexuality,Unknown,Unknown,1986,New Zealand,,,,,,,,Philosophy,New Zealand,"Decriminalized homosexual acts between consenting adults, marking progress in LGBTQ+ rights.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive
398,Establishment of Goryeo Dynasty,Unknown,Unknown,918,Korea,,,,,,,,Figures,Korean Peninsula,"Unified the Later Three Kingdoms, laying the groundwork for a unified Korean identity and culture.",Korean people,King Taejo,Positive
399,Mongol Invasions of Korea,Unknown,Unknown,1231,Korea,Mongolia,,,,,,,War & Conflict,Korean Peninsula,"Led to Goryeo becoming a semi-autonomous vassal state of the Mongol Empire, impacting Korean sovereignty.",Korean people,Mongol Empire,Negative
400,Establishment of Joseon Dynasty,Unknown,Unknown,1392,Korea,,,,,,,,Figures,Korean Peninsula,"Marked the beginning of a dynasty that would last for five centuries, emphasizing Confucianism and centralizing royal power.",Korean people,King Taejo of Joseon,Positive
401,Japanese Invasions of Korea (Imjin War),Unknown,Unknown,1592,Korea,Japan,,,,,,,War & Conflict,Korean Peninsula,"A devastating conflict that led to significant loss of life and cultural treasures, but also showcased Korean resilience.",Korean people,"Toyotomi Hideyoshi, Admiral Yi Sun-sin",Mixed
402,Manchu Invasions of Korea,Unknown,Unknown,1627,Korea,China,,,,,,,War & Conflict,Korean Peninsula,"Forced Korea into becoming a tributary state of the Qing Dynasty, impacting Korean foreign relations.",Korean people,Qing Dynasty,Negative
403,The Gabo Reform,Unknown,Unknown,1894,Korea,,,,,,,,Philosophy,Korean Peninsula,"A series of reforms aimed at modernizing Korea's government and social structures, influenced by foreign powers.",Korean people,King Gojong,Mixed
404,Assassination of Empress Myeongseong,8,October,1895,Korea,,,,,,,,Figures,Gyeongbokgung Palace,The Japanese-orchestrated assassination heightened Korean resentment towards Japan and destabilized the court.,"Korean royal family, citizens",Japanese agents,Negative
405,Korean Empire Proclaimed,12,October,1897,Korea,,,,,,,,Milestone Events,Korean Peninsula,"King Gojong declared the Korean Empire, asserting independence amidst increasing foreign intervention.",Korean people,Emperor Gojong,Positive
406,Russo-Japanese War,Unknown,Unknown,1904,Korea,Russia,Japan,,,,,,War & Conflict,"Korean Peninsula, Manchuria","Impacted Korea's sovereignty as Japan and Russia vied for dominance in the region, leading to Korea becoming a protectorate of Japan.",Korean people,"Japan, Russia",Negative
407,Japan-Korea Annexation Treaty,22,August,1910,Korea,Japan,,,,,,,Milestone Events,Korean Peninsula,"Officially annexed Korea to Japan, ending the Korean Empire and beginning a period of Japanese colonial rule.",Korean people,Imperial Japan,Negative
408,March 1st Movement,1,March,1919,Korea,,,,,,,,Milestone Events,Korean Peninsula,"A nationwide peaceful protest against Japanese colonial rule, pivotal in the Korean independence movement.",Korean people,Korean activists,Mixed
409,Establishment of the Provisional Government,11,April,1919,Korea,China,,,,,,,Milestone Events,"Shanghai, China","Formed by Korean exiles, it acted as the de facto Korean government-in-exile opposing Japanese rule.",Korean people,Korean independence activists,Positive
410,Korean Liberation,15,August,1945,Korea,Japan,USA,,,,,,Milestone Events,Korean Peninsula,Marked the end of Japanese colonial rule in Korea following Japan's surrender in WWII.,Korean people,Allied Powers,Positive
411,Division of Korea,Unknown,Unknown,1945,Korea,USA,USSR,,,,,,War & Conflict,38th Parallel North,"Korea was divided into North and South along the 38th parallel, laying the groundwork for future conflict.",Korean people,"United States, Soviet Union",Negative
412,Establishment of the Republic of Korea,15,August,1948,South Korea,,,,,,,,Milestone Events,Seoul,Official establishment of South Korea as an independent nation following the division.,South Koreans,Syngman Rhee,Positive
413,Establishment of the Democratic People's Republic of Korea,9,September,1948,North Korea,,,,,,,,Milestone Events,Pyongyang,"Official establishment of North Korea as a separate state, consolidating the division of Korea.",North Koreans,Kim Il-sung,Negative
414,Jeju Uprising,Unknown,Unknown,1948,South Korea,,,,,,,,War & Conflict,Jeju Island,"A violent suppression of a rebellion, leading to significant loss of life and highlighting post-liberation tensions.",Jeju Island residents,South Korean Government,Negative
415,Korean War,25,June,1950,Korea,USA,China,North Korea,South Korea,,,,War & Conflict,Korean Peninsula,"An armed conflict between North and South Korea, with significant international involvement, further solidifying the division.","Korean people, international forces","North Korea, South Korea, UN, China, US",Negative
